日期,正常购电成本,紧急购电成本,紧急购电量,弃电量,日总成本,日初SOC,日终SOC,实际再调度电量
2025-04-28,32571.950635963705,35823.864633935635,5330.236936409,84.20485126666699,68395.81526989934,1200.0,1415.522684467037,13397.842121022333
2025-04-29,38894.48788273445,0.0,0.0,13227.331573611114,38894.48788273445,1415.522684467037,2540.7247660592625,15711.34007210494
2025-04-30,40630.86017971835,0.0,0.0,15043.297085432514,40630.86017971835,2540.7247660592625,2852.1433606192604,14461.57802256585
2025-05-01,42052.130688923695,100.52555520000023,14.410200000000032,15791.149395939097,42152.6562441237,2852.1433606192604,1555.7548943462984,13426.1543791391
2025-05-02,44798.17966313109,0.0,0.0,47976.17260130287,44798.17966313109,1555.7548943462984,9439.678940238151,32024.34368291687
2025-05-03,31907.617440278773,0.0,0.0,42215.12404089733,31907.617440278773,9439.678940238151,7267.220921314444,23514.257809018305
2025-05-04,26520.781647622254,35336.72779213095,5890.201118045001,0.0,61857.50943975321,7267.220921314444,1225.12305,10548.915500581672
2025-05-05,36418.59297178825,1679.5124629113568,240.75580030266008,1091.329478133335,38098.10543469961,1225.12305,1352.0533405770375,6210.597765335991
2025-05-06,41440.24910761299,0.0,0.0,10536.651651248561,41440.24910761299,1352.0533405770375,2162.5383305962955,6408.407901623461
2025-05-07,44157.76809891539,0.0,0.0,12056.912513514406,44157.76809891539,2162.5383305962955,2899.8655396670374,12704.970510214409
2025-05-08,46709.52837483939,0.0,0.0,14634.969472194236,46709.52837483939,2899.8655396670374,3513.21267238815,17325.104261894237
2025-05-09,47803.071239968296,0.0,0.0,57762.38961002468,47803.071239968296,3513.21267238815,10800.0,34125.512846225916
2025-05-10,31974.772797419173,0.0,0.0,39537.58454854567,31974.772797419173,10800.0,7599.510303698888,22905.699661806175
2025-05-11,27220.24364753283,48414.37746749862,7622.131876524005,7.625761533333389,75634.62111503145,7599.510303698888,1200.0,13489.378586463332
2025-05-12,37864.16145284801,454.70591672023033,76.05987112300325,7369.606350862556,38318.867369568245,1200.0,1639.6586856755555,13133.787663224222
2025-05-13,41387.421634881786,0.0,0.0,10468.148050220996,41387.421634881786,1639.6586856755555,2442.9767427977786,8569.858071720997
2025-05-14,43920.485479133975,0.0,0.0,14462.948764150206,43920.485479133975,2442.9767427977786,3009.8247153648176,14004.126574650207
2025-05-15,45714.69735405316,0.0,0.0,16715.423103253095,45714.69735405316,3009.8247153648176,3881.8015497737047,17684.62903160741
2025-05-16,46161.795093226625,0.0,0.0,62519.73965724732,46161.795093226625,3881.8015497737047,10150.823550217776,32088.43162109136
2025-05-17,30133.718390587153,0.0,0.0,37732.75921409835,30133.718390587153,10150.823550217776,7573.497711648887,22371.19454251523
2025-05-18,25670.946867967243,51059.84185439374,8529.301092760676,0.0,76730.78872236097,7573.497711648887,1204.074783,12342.171192009344
2025-05-19,36054.872172732285,840.8061289999982,123.23591666666641,9033.573658255144,36895.67830173228,1204.074783,1528.5019038685184,7357.3622246358045
2025-05-20,39299.71447525847,0.0,0.0,6047.882530448156,39299.71447525847,1528.5019038685184,2192.643295160744,10253.456125186016
2025-05-21,43051.21889945064,0.0,0.0,14921.617578368723,43051.21889945064,2192.643295160744,3029.8643630077777,13799.261966835391
2025-05-22,44786.429905418525,0.0,0.0,16996.923318904115,44786.429905418525,3029.8643630077777,4165.563256394445,18413.306271770783
2025-05-23,44874.08263627474,0.0,0.0,56789.47509117481,44874.08263627474,4165.563256394445,10498.996536701485,32171.356695035887
2025-05-24,30418.762952234763,0.0,0.0,45149.36614955966,30418.762952234763,10498.996536701485,7534.993510362961,20802.588112745667
2025-05-25,24590.647890655586,34652.743384507216,6055.446994903995,0.0,59243.3912751628,7534.993510362961,1253.4838445925927,10631.432434229995
2025-05-26,34413.8431990379,12221.216318647424,1786.045631424989,352.21363657489496,46635.059517685324,1253.4838445925927,1464.268317402223,7794.418114299884
2025-05-27,39872.99786554118,0.0,0.0,12314.273575597119,39872.99786554118,1464.268317402223,2116.8805608437037,10681.64513109712
2025-05-28,42084.64284238398,0.0,0.0,11923.219181707413,42084.64284238398,2116.8805608437037,3137.772534308519,10631.114602940748
2025-05-29,44208.88095860035,0.0,0.0,13256.341015209877,44208.88095860035,3137.772534308519,3803.606085005558,13610.12824820988
2025-05-30,45879.94691216029,0.0,0.0,57813.365996872846,45879.94691216029,3803.606085005558,10477.890792164073,31927.846868440334
2025-05-31,30797.850573009262,0.0,0.0,41225.295752378195,30797.850573009262,10477.890792164073,7614.99737188963,22949.460573990535
2025-06-01,25599.776743793656,132784.67953328555,24690.68682285833,0.0,158384.4562770792,7614.99737188963,1200.0,22839.45681239433
2025-06-02,40964.15055279641,36168.468129800145,5956.307706158339,1332.4733231,77132.61868259656,1200.0,1213.955592,12904.048970158337
2025-06-03,49055.21718828974,935.2228314810862,138.72771833333377,6388.147261987655,49990.440019770824,1213.955592,1641.29267807222,5797.759681154317
2025-06-04,54015.009761315225,0.0,0.0,11104.82652370906,54015.009761315225,1641.29267807222,2526.6642067718535,14527.543638900008
2025-06-05,57292.273294562816,0.0,0.0,13805.584901352673,57292.273294562816,2526.6642067718535,3255.7554576911116,15391.146570852678
2025-06-06,59141.7109969867,0.0,0.0,51145.936692430456,59141.7109969867,3255.7554576911116,10456.456240736297,37728.56472526543
2025-06-07,44798.77832608875,0.0,0.0,39316.8471456251,44798.77832608875,10456.456240736297,7824.600095749261,29871.246595405348
2025-06-08,39434.07598760925,15110.963657703669,2670.725196500001,4442.706955242802,54545.03964531292,7824.600095749261,1205.9194949999999,10831.526109909471
2025-06-09,48866.77970554247,3964.0336704819874,571.2121266743317,4164.505602594248,52830.81337602445,1205.9194949999999,1551.3903280329635,6801.925582901913
2025-06-10,54264.014021855415,0.0,0.0,9376.979826401652,54264.014021855415,1551.3903280329635,2421.967155475189,10574.499343601654
2025-06-11,57606.14595201636,0.0,0.0,8711.039756363374,57606.14595201636,2421.967155475189,3249.92689545963,8995.340696463376
2025-06-12,61373.61136046723,0.0,0.0,17516.49434610329,61373.61136046723,3249.92689545963,4051.366021448888,20322.020004036618
2025-06-13,61985.75783388852,0.0,0.0,57519.8746696358,61985.75783388852,4051.366021448888,10555.331213079631,37615.26024793827
2025-06-14,45859.354127893224,0.0,0.0,45690.535696926745,45859.354127893224,10555.331213079631,7625.726155722222,29274.327002787653
2025-06-15,38578.925514152856,35126.151097882044,5795.770622583663,348.04417816666705,73705.0766120349,7625.726155722222,1206.947169,9390.922020564332
2025-06-16,49772.783040558905,875.5621449988981,129.85596173333306,2744.928722736625,50648.3451855578,1206.947169,1799.777106390001,4110.027376368722
2025-06-17,55261.18788808359,118.62253164499884,17.588549999999827,8289.118735874892,55379.81041972859,1799.777106390001,2060.2951548500023,11139.606379212759
2025-06-18,59470.668067277344,0.0,0.0,16950.052137074075,59470.668067277344,2060.2951548500023,3358.1769860092613,19406.22160407408
2025-06-19,60544.44842499711,0.0,0.0,21167.63951171605,60544.44842499711,3358.1769860092613,3858.604019318148,21593.38133048272
2025-06-20,60241.02505755814,0.0,0.0,61309.622651735386,60241.02505755814,3858.604019318148,10527.60055862074,37029.33848472181
2025-06-21,42785.221477805724,0.0,0.0,48077.664489705625,42785.221477805724,10527.60055862074,8119.214822256295,29089.21733614828
2025-06-22,35015.63682808057,45771.02166519525,7156.617628143661,0.0,80786.65849327581,8119.214822256295,1212.958713,13002.912422876989
2025-06-23,46483.2100918607,2408.8954027327068,375.95817255166526,4688.725853392995,48892.10549459341,1212.958713,1399.9211143999994,5603.688010524741
2025-06-24,51839.14392890192,5249.50272495887,1099.792673287001,1971.263999581892,57088.646653860786,1399.9211143999994,2309.5044562192606,5688.7423738533225
2025-06-25,57633.195940124766,0.0,0.0,14891.65896457572,57633.195940124766,2309.5044562192606,3233.321212692221,15870.591331542386
2025-06-26,59547.88340460324,0.0,0.0,20748.06446571193,59547.88340460324,3233.321212692221,3564.8947998892604,20139.93500657654
2025-06-27,59662.33905324383,0.0,0.0,62571.058191169956,59662.33905324383,3564.8947998892604,10730.303596145926,38172.54451713169
2025-06-28,41717.427804226754,0.0,0.0,44256.75975565842,41717.427804226754,10730.303596145926,8009.681800233337,28550.435759128402
2025-06-29,35108.130587617605,54104.08360318125,8669.384899449662,0.0,89212.21419079886,8009.681800233337,1221.869574,15927.245319998996
2025-06-30,47180.23493542419,1068.820572729469,157.593722566667,2709.4034797366185,48249.05550815366,1221.869574,1297.622598955927,5740.177243794646
2025-07-01,53026.96334358865,12011.203973905336,2586.1943955149945,3929.839245281069,65038.167317493986,1297.622598955927,1200.0,7908.137293487842
2025-07-02,59645.55670167752,1372.0253417206527,212.80929652299767,17197.284302490953,61017.58204339817,1200.0,1256.53066599,19027.00871017947
2025-07-03,62147.18265180384,0.0,0.0,11579.683548088478,62147.18265180384,1256.53066599,2566.7677723703705,13131.3710911749
2025-07-04,64716.266886423975,0.0,0.0,61046.64832733909,64716.266886423975,2566.7677723703705,9677.13312678482,36870.64707060988
2025-07-05,47989.70342751864,0.0,0.0,45274.548805685816,47989.70342751864,9677.13312678482,7785.079053268517,30104.159301114178
2025-07-06,41108.51192290268,73491.63142443125,11541.311315537354,27.280856100000165,114600.14334733394,7785.079053268517,1200.0,19024.552707538023
2025-07-07,54122.359018429066,347.5138560868497,51.56683039999996,8586.156431636635,54469.87287451592,1200.0,1454.6208555055575,10033.00664976997
2025-07-08,58170.06010130849,0.0,0.0,10576.075686432094,58170.06010130849,1454.6208555055575,2535.415934466667,9615.630952843614
2025-07-09,61386.136756926026,0.0,0.0,16123.113001388478,61386.136756926026,2535.415934466667,3525.275491504446,18706.89944458848
2025-07-10,62936.4395856775,0.0,0.0,19871.348202304114,62936.4395856775,3525.275491504446,3727.6075645962956,20893.16671782757
2025-07-11,63231.947208125726,0.0,0.0,54660.511672052264,63231.947208125726,3727.6075645962956,10607.894700283707,36648.47540550658
2025-07-12,47681.6069012088,0.0,0.0,42994.76494417654,47681.6069012088,10607.894700283707,7925.746402926672,27952.94157888394
2025-07-13,41654.66072004943,17149.027367227864,2763.8496894016703,2177.820168421804,58803.688087277296,7925.746402926672,1216.19373,7317.026346127803
2025-07-14,51505.451537366665,789.7529350186695,122.85108841099827,6318.12536471276,52295.20447238533,1216.19373,1470.4901989777782,8222.435817569334
2025-07-15,56302.54000829798,0.0,0.0,10345.235912185588,56302.54000829798,1470.4901989777782,3054.4976565985185,15966.998938452252
2025-07-16,58857.13575754294,0.0,0.0,15343.202909559255,58857.13575754294,3054.4976565985185,3327.0752388159262,18766.888653959257
2025-07-17,60855.11903155531,0.0,0.0,16939.334088882308,60855.11903155531,3327.0752388159262,3748.760933282593,16888.67252444898
2025-07-18,62042.75831116481,0.0,0.0,54333.47781075102,62042.75831116481,3748.760933282593,10682.436926537039,35993.1164735037
2025-07-19,46714.174303135005,0.0,0.0,45796.868610052676,46714.174303135005,10682.436926537039,7782.449317202963,28209.8079112288
2025-07-20,40444.72270494423,35256.35274664701,5442.483040269282,123.67530936666662,75701.07545159124,7782.449317202963,1222.4021320370375,10194.893515401282
2025-07-21,51153.10828178715,471.50374870861845,72.63560963099931,3387.1751568452673,51624.612030495766,1222.4021320370375,1595.3240747999996,6875.892570142933
2025-07-22,56553.09849641574,0.0,0.0,10405.456318585191,56553.09849641574,1595.3240747999996,2528.6827640237043,10909.376836818523
2025-07-23,59844.36209513797,0.0,0.0,14110.41394106379,59844.36209513797,2528.6827640237043,3278.7194089537024,15464.871959563787
2025-07-24,62247.01683508039,0.0,0.0,17657.59752371235,62247.01683508039,3278.7194089537024,4164.134690521112,22510.734955879012
2025-07-25,62817.92444815839,0.0,0.0,60521.51872482099,62817.92444815839,4164.134690521112,10704.462195855927,37002.69156691112
2025-07-26,46016.61437145812,0.0,0.0,43107.10209203066,46016.61437145812,10704.462195855927,7852.015437239261,27233.307472511297
2025-07-27,40156.0910973267,46339.38627574386,7538.254039481664,291.5444496000008,86495.47737307056,7852.015437239261,1200.0,12042.280509363662
2025-07-28,51583.16619794943,4399.353731332116,698.1783608732009,798.2546518209873,55982.519929281545,1200.0,1333.1907244722222,5854.818705027521
2025-07-29,58161.23409342034,211.11115382500057,31.35448000000008,10103.816512018922,58372.345247245335,1333.1907244722222,2624.922548541853,11625.696002880652
2025-07-30,61350.048188445144,0.0,0.0,16290.924217433343,61350.048188445144,2624.922548541853,3629.6625229411134,17222.637500666675
