日期,正常购电成本,紧急购电成本,紧急购电量,弃电量,日总成本,日终计划SOC,日终实际SOC,实际再调度电量
2025-06-01,25599.776743793656,65098.66602991818,14049.26892494866,0.0,90698.44277371184,1200.0,1200.0,12198.038914484669
2025-06-02,40964.15055279641,5805.477896902379,1434.287480899999,1332.4733230999996,46769.628449698794,1200.0,1213.955592,8382.028744899995
2025-06-03,49055.21718828975,935.2228314810832,138.7277183333333,3948.1313991666666,49990.44001977084,1200.0,1641.2926780722198,3357.7438183333315
2025-06-04,54015.009761315225,0.0,0.0,4291.410481437863,54015.009761315225,1200.0,2526.664206771854,7714.127596628808
2025-06-05,57292.273294562816,0.0,0.0,6686.664578266668,57292.273294562816,1200.0,3255.755457691111,8272.22624776667
2025-06-06,59141.710996986716,0.0,0.0,35742.59479893252,59141.710996986716,1200.0,10456.456240736294,22325.222831767485
2025-06-07,44798.77832608875,0.0,0.0,26783.442789776534,44798.77832608875,1200.0,7824.6000957492615,17337.84223955679
2025-06-08,39434.07598760925,7119.1888419210045,1514.2707868333337,1764.0406723333301,46553.26482953025,1200.0,1205.9194949999999,6996.405417333333
2025-06-09,48866.77970554246,755.1834136050447,111.22785819999922,2400.618333733333,49621.963119147505,1200.0,1551.3903280329635,4578.054045566669
2025-06-10,54264.014021855415,0.0,0.0,4641.319005566667,54264.014021855415,1200.0,2421.96715547519,5838.8385227666695
2025-06-11,57606.14595201636,0.0,0.0,5659.279551833334,57606.14595201636,1200.0,3249.9268954596287,5943.580491933333
2025-06-12,61373.61136046723,0.0,0.0,8180.288567366668,61373.61136046723,1200.0,4051.366021448889,10985.8142253
2025-06-13,61985.75783388852,0.0,0.0,42170.55699909877,61985.75783388852,1200.0,10555.33121307963,22265.942577401234
2025-06-14,45859.354127893224,0.0,0.0,33256.56523133621,45859.354127893224,1200.0,7625.726155722221,16840.35653719712
2025-06-15,38578.92551415286,7550.6547149123235,1668.127957576332,348.04417816666717,46129.580229065185,1200.0,1206.947169,5263.279355557
2025-06-16,49772.783040558905,875.5621449988982,129.85596173333306,2272.131735383953,50648.3451855578,1200.0,1799.7771063900013,3637.2303890160506
2025-06-17,55261.18788808359,118.62253164499961,17.58854999999994,3593.725092814404,55379.81041972859,1200.0,2060.2951548500014,6444.212736152263
2025-06-18,59470.66806727735,0.0,0.0,7629.157966999999,59470.66806727735,1200.0,3358.176986009261,10085.327433999999
2025-06-19,60544.448424997114,0.0,0.0,11075.322369000001,60544.448424997114,1200.0,3858.604019318149,11501.06418776667
2025-06-20,60241.02505755814,0.0,0.0,46216.535688890115,60241.02505755814,1200.0,10527.600558620741,21936.251521876544
2025-06-21,42785.221477805724,0.0,0.0,36083.89634136201,42785.221477805724,1200.0,8119.214822256298,17095.449187804654
2025-06-22,35015.63682808056,7520.271820300617,1509.7586171666667,0.0,42535.90864838118,1200.0,1212.958713,7356.053411899994
2025-06-23,46483.2100918607,803.4619945915958,145.82150280666664,2848.992381403292,47286.6720864523,1200.0,1399.9211143999994,3533.8178687900368
2025-06-24,51839.14392890193,4594.671226062422,965.8708859869978,1387.47668533745,56433.81515496435,1200.0,2309.50445621926,4971.033272308888
2025-06-25,57633.19594012476,0.0,0.0,7471.796865500002,57633.19594012476,1200.0,3233.321212692222,8450.729232466667
2025-06-26,59547.88340460325,0.0,0.0,11222.375444551026,59547.88340460325,1200.0,3564.8947998892595,10614.24598541564
2025-06-27,59662.33905324382,0.0,0.0,47032.052413269135,59662.33905324382,1200.0,10730.303596145928,22633.53873923087
2025-06-28,41717.427804226754,0.0,0.0,32494.63868859835,41717.427804226754,1200.0,8009.681800233336,16788.314692068314
2025-06-29,35108.130587617605,9305.064402183263,1756.377582441999,0.0,44413.19498980087,1200.0,1221.869574,9014.238002991337
2025-06-30,47180.23493542419,1068.820572729468,157.59372256666688,1575.3900137876524,48249.05550815366,1200.0,1297.6225989559273,4606.163777845679
2025-07-01,53026.96334358865,8861.08366317673,2134.628983999999,3097.23006847078,61888.04700676538,1200.0,1200.0,6623.962705162554
2025-07-02,59645.55670167752,1372.0253417206527,212.80929652299716,8226.769856794243,61017.58204339817,1200.0,1256.53066599,10056.494264482762
2025-07-03,62147.18265180384,0.0,0.0,5712.983646290122,62147.18265180384,1200.0,2566.767772370371,7264.671189376541
2025-07-04,64716.266886423975,0.0,0.0,45659.960027297944,64716.266886423975,1200.0,9677.13312678482,21483.958770568723
2025-07-05,47989.70342751864,0.0,0.0,32624.60835418581,47989.70342751864,1200.0,7785.079053268517,17454.218849614183
2025-07-06,41108.51192290269,12421.901654713265,2386.268678532998,27.280856100000165,53530.41357761595,1200.0,1200.0,9869.510070533666
2025-07-07,54122.359018429066,347.5138560868497,51.56683039999996,4021.5990850333346,54469.87287451592,1200.0,1454.6208555055584,5468.449303166671
2025-07-08,58170.06010130849,0.0,0.0,6477.769514460904,58170.06010130849,1200.0,2535.415934466667,5517.3247808724245
2025-07-09,61386.13675692602,0.0,0.0,7387.914094333334,61386.13675692602,1200.0,3525.275491504448,9971.70053753334
2025-07-10,62936.4395856775,0.0,0.0,10118.582048571607,62936.4395856775,1200.0,3727.607564596297,11140.400564095056
2025-07-11,63231.94720812572,0.0,0.0,39927.39771407284,63231.94720812572,1200.0,10607.894700283705,21915.361447527157
2025-07-12,47681.60690120881,0.0,0.0,31549.337870196297,47681.60690120881,1200.0,7925.746402926672,16507.51450490371
2025-07-13,41654.660720049425,6898.868129580836,1272.6727940083338,2018.7303163395006,48553.52884963026,1200.0,1216.19373,5666.759598652165
2025-07-14,51505.451537366665,752.7579159703554,117.54790334099914,2856.380046936214,52258.20945333702,1200.0,1470.4901989777786,4755.38731472279
2025-07-15,56302.54000829798,0.0,0.0,3658.1682759333326,56302.54000829798,1200.0,3054.497656598516,9279.931302199997
2025-07-16,58857.13575754296,0.0,0.0,6623.251140733333,58857.13575754296,1200.0,3327.0752388159267,10046.936885133333
2025-07-17,60855.11903155531,0.0,0.0,9438.34259766667,60855.11903155531,1200.0,3748.760933282595,9387.681033233337
2025-07-18,62042.75831116482,0.0,0.0,39993.79362304033,62042.75831116482,1200.0,10682.436926537039,21653.432285793002
2025-07-19,46714.174303135005,0.0,0.0,34165.64896431194,46714.174303135005,1200.0,7782.449317202963,16578.588265488062
2025-07-20,40444.72270494423,6622.545755802441,1223.9224142006647,123.67530936666617,47067.26846074667,1200.0,1222.4021320370373,5976.3328893326625
2025-07-21,51153.10828178715,418.8947837371658,65.09418689999984,1600.4382004666659,51572.00306552432,1200.0,1595.3240748000007,5081.614191033335
2025-07-22,56553.098496415754,0.0,0.0,5811.270312366671,56553.098496415754,1200.0,2528.682764023704,6315.1908306000005
2025-07-23,59844.36209513797,0.0,0.0,7010.870385166667,59844.36209513797,1200.0,3278.7194089537034,8365.328403666666
2025-07-24,62247.01683508039,0.0,0.0,7251.377504933336,62247.01683508039,1200.0,4164.134690521112,12104.514937099997
2025-07-25,62817.92444815839,0.0,0.0,45630.586401371605,62817.92444815839,1200.0,10704.462195855924,22111.75924346173
2025-07-26,46016.61437145812,0.0,0.0,32044.784711176344,46016.61437145812,1200.0,7852.015437239261,16170.990091656984
