日期,正常费,调整费,紧急费,总费用,紧急电量,未利用供给,日初电量,日末电量,预测方法
2025-05-29,37437.18327141429,0.0,74.92722051500893,37512.1104919293,11.14573752547551,3502.1059917026882,3453.8788525486048,2957.461010232524,weekly
2025-05-30,15637.66788902751,0.0,0.0,15637.66788902751,0.0,18658.70206305437,2957.461010232524,3495.5944084453745,weekly
2025-05-31,15381.794554876713,0.0,8.403944207202585e-15,15381.794554876713,1.7763568394002505e-15,16538.587204525647,3495.5944084453745,3684.3960679366446,weekly
2025-06-01,38435.74119605059,0.0,58655.633331701814,97091.3745277524,9507.126235418848,57.420805902055235,3684.3960679366446,1202.3760009999999,weekly
2025-06-02,39489.80548863998,0.0,48571.294460914185,88061.09994955416,8061.302433602825,1589.140627316387,1202.3760009999999,1242.9525009999998,weekly
2025-06-03,45055.911242922215,0.0,4633.946337317988,49689.857580240205,1093.4610852665437,1556.154518593952,1242.9525009999998,1200.000001,weekly
2025-06-04,44890.47605358116,0.0,16057.325686781003,60947.80174036216,3108.7647619007557,4172.929524776331,1200.000001,1200.0000009999999,weekly
2025-06-05,47307.98962523522,0.0,3865.0616443767813,51173.051269612,765.2932290307172,1871.51739155414,1200.0000009999999,1200.0000009999999,weekly
2025-06-06,19050.29095177303,0.0,15353.181257214901,34403.47220898793,2318.1583282714228,2997.105632604475,1200.0000009999999,1329.6422722962966,weekly
2025-06-07,20050.01035797339,0.0,5418.277041127608,25468.287399101,784.1255576139849,2676.230643860308,1329.6422722962966,1583.844696370371,weekly
2025-06-08,58028.90036346702,0.0,24.423553791102798,58053.32391725812,3.614823324369638,21179.680258943,1583.844696370371,2962.35512678242,weekly
2025-06-09,54502.582485460545,0.0,211.27739249999922,54713.859877960545,31.371666666666556,10929.173343598219,2962.35512678242,2886.7540289333656,weekly
2025-06-10,54932.93088257765,0.0,163.95237311610217,55096.883255693756,24.265873324369473,10531.697253558868,2886.7540289333656,2793.0456634900715,weekly
2025-06-11,55703.259096281276,0.0,118.6279283333346,55821.88702461461,17.596666666666998,6853.968014425998,2793.0456634900715,3106.654950217616,weekly
2025-06-12,57564.4917546682,0.0,1.06930997390009e-12,57564.4917546682,2.5579538487363607e-13,12932.624472762207,3106.654950217616,3537.6536764326634,weekly
2025-06-13,24754.1463916324,0.0,1.8620839476195163e-12,24754.146391632403,4.793674273717921e-13,10457.150070721249,3537.6536764326634,3669.258194727285,weekly
2025-06-14,25038.88157378578,0.0,2.474394023010973e-13,25038.88157378578,1.1368683772161603e-13,14052.494185153026,3669.258194727285,3249.0828287530585,weekly
2025-06-15,57075.006731512585,0.0,7.164544513216242e-13,57075.006731512585,2.8421709430404007e-13,14297.972528853652,3249.0828287530585,3388.801453099295,weekly
2025-06-16,56405.5642499406,0.0,115.34262125776951,56520.90687119837,17.07135665770291,11316.940649743607,3388.801453099295,3342.7838650027907,weekly
2025-06-17,56058.18949405357,0.0,347.1423066666674,56405.33180072024,51.493333333333624,9621.331191834346,3342.7838650027907,2943.1041876874397,weekly
2025-06-18,57768.63110545681,0.0,4.5656634029001e-13,57768.63110545681,1.1368683772161603e-13,15318.45240369756,2943.1041876874397,3216.884487054106,weekly
2025-06-19,56719.060341702105,0.0,424.09547350845344,57143.15581521056,62.940269271122446,16501.40587332801,3216.884487054106,3055.6598491753516,weekly
2025-06-20,21681.34384529791,0.0,0.0,21681.34384529791,0.0,12373.081064856106,3055.6598491753516,2854.5734041632013,weekly
2025-06-21,21517.362897667423,0.0,1.3112526156634014e-12,21517.362897667423,3.5242919625938333e-13,14161.749012299062,2854.5734041632013,3481.3876006409773,weekly
2025-06-22,50156.90915428223,0.0,375.28842727500114,50532.19758155723,55.72545000000042,9489.914195186535,3481.3876006409773,2302.92985964291,weekly
2025-06-23,50726.13764625979,0.0,7.531752999057062e-13,50726.13764625979,1.7053025658242404e-13,10162.49521534377,2302.92985964291,2113.631722546612,weekly
2025-06-24,49415.64537205504,0.0,13966.042969303013,63381.68834135805,2640.897894772047,903.5804836318865,2113.631722546612,2029.9087660000005,weekly
2025-06-25,55539.971527973175,0.0,8.213716256623428e-13,55539.971527973175,2.9151897909529545e-13,10740.708716477375,2029.9087660000005,4451.3260818092585,weekly
2025-06-26,50708.58492332463,0.0,107.0474779123343,50815.632401236966,15.874512666666842,10784.529480020585,4451.3260818092585,2200.7116953296295,weekly
2025-06-27,20746.108600929238,0.0,2.2378685571311507e-12,20746.10860092924,4.547473508864641e-13,11707.755516392994,2200.7116953296295,3572.955294725927,weekly
2025-06-28,19935.771738551193,0.0,1.5140813022658766e-12,19935.771738551193,6.023928524647977e-13,10420.779455964546,3572.955294725927,3115.523217047003,weekly
2025-06-29,49063.47841865674,0.0,27.112890000001496,49090.591308656745,4.020000000000559,5583.470571677862,3115.523217047003,2660.943008036261,weekly
2025-06-30,49933.409387000676,0.0,361.7154868541677,50295.124873854846,53.68360416666695,5678.128772957254,2660.943008036261,2320.7406650574067,weekly
2025-07-01,50625.681467696224,0.0,18680.983024458277,69306.6644921545,3811.807123600001,2433.961765771606,2320.7406650574067,1200.0000009999999,weekly
2025-07-02,48978.80969509837,0.0,17847.544775187256,66826.35447028562,3452.4911885283313,5273.595547761193,1200.0000009999999,1200.0000009999999,weekly
2025-07-03,50172.02496739904,0.0,25189.2227984903,75361.24776588933,4311.84934818866,206.45726666666832,1200.0000009999999,1243.119286,weekly
2025-07-04,21989.05410232505,0.0,15622.147398205641,37611.20150053069,3530.516362175004,9800.749752222224,1243.119286,1200.0000009999999,weekly
2025-07-05,24331.37651711268,0.0,4913.203384955048,29244.57990206773,704.3009439442443,10792.19935340286,1200.0000009999999,1451.6803236111114,weekly
2025-07-06,49497.37325727781,0.0,33032.918815024386,82530.2920723022,5480.710903209074,537.080056833335,1451.6803236111114,1200.000001,weekly
2025-07-07,51772.48124927872,0.0,1952.7809864012156,53725.26223567993,383.1279876400012,4893.415286135456,1200.000001,1517.3927524814821,weekly
2025-07-08,62418.84583235388,0.0,3.9216274672071445e-13,62418.84583235388,1.1368683772161603e-13,13861.670937292623,1517.3927524814821,4566.781305777016,ridge
2025-07-09,60629.120212924725,0.0,4.610853920894442e-13,60629.120212924725,1.7053025658242404e-13,14568.088549785269,4566.781305777016,4893.660151722787,ridge
2025-07-10,60436.05261572222,0.0,2.0332606709416723e-12,60436.05261572222,3.979039320256561e-13,15965.174267803892,4893.660151722787,4624.568806566686,ridge
2025-07-11,37755.93925932786,0.0,2.4630253392388114e-13,37755.93925932786,1.1368683772161603e-13,20643.166290727113,4624.568806566686,7594.458815944147,ridge
2025-07-12,29952.44401928882,0.0,0.0,29952.44401928882,0.0,16154.77457285149,7594.458815944147,4503.954443824073,weekly
2025-07-13,60170.66937008291,0.0,6.865548130008392e-13,60170.66937008291,1.7053025658242404e-13,19440.30455876758,4503.954443824073,4815.646785809258,weekly
2025-07-14,58504.71689918764,0.0,1.5273542430804807e-12,58504.71689918764,5.684341886080801e-13,15083.416519975315,4815.646785809258,4684.980902601853,weekly
